AAs,Nneg,Npos,Exc1,Exc2,I.Index,A.Index,GRAVY,Ser,Thr,Tyr,ExpAA,PredHel,Class
94AA,8,9,11585,11460,57.54,70.53,-0.488,11,3,4,0,0,Defensin
100AA,3,6,25565,25440,42.06,127.8,1.02,8,5,6,66.47,3,Defensin
530AA,55,62,63465,32340,55.76,74.02,-0.0555,42,31,16,0.0891,0,Defensin
99AA,8,14,10345,9970,44.13,94.55,-0.137,2,8,3,0.003,0,Defensin
69AA,10,11,7950,7450,61.94,87.39,-0.157,2,5,5,22.435,1,Defensin
72AA,7,14,11835,11460,48,93.47,-0.381,4,3,4,0.03635,0,Defensin
64AA,1,8,3355,2980,41.32,92.81,0.605,2,3,2,21.90548,1,Defensin
97AA,9,11,7365,6990,46.1,97.53,0.178,8,4,1,1.64075,0,Defensin
123AA,16,16,8855,8480,51.67,77.64,-0.437,12,9,2,0.60432,0,Defensin
88AA,12,16,10345,9970,43.86,89.66,-0.407,6,3,3,18.5019,1,Defensin
760AA,95,92,72045,71170,42.86,98.03,-0.155,39,40,33,0.41202,0,DNA Repair Protein
471AA,68,73,13075,12950,65.83,57.01,-0.999,13,21,5,0.01386,0,DNA Repair Protein
1312AA,239,231,60375,59250,50.46,84.18,-0.915,81,64,25,0.18511,0,DNA Repair Protein
782AA,111,109,89575,88700,49.13,76.3,-0.509,57,42,30,0.65408,0,DNA Repair Protein
732AA,109,90,41995,41370,42.05,86.57,-0.336,54,32,13,0.17091,0,DNA Repair Protein
609AA,96,91,42540,42290,49.86,83.88,-0.536,44,27,21,0.03238,0,DNA Repair Protein
616AA,71,71,63425,62800,35.83,78.96,-0.362,54,35,20,0.00061,0,DNA Repair Protein
707AA,80,93,26485,26360,66.18,38.54,-1.125,37,23,14,0.00089,0,DNA Repair Protein
760AA,95,92,72045,41170,42.86,98.03,-0.155,39,40,33,0.4102,0,DNA Repair Protein
1312AA,239,231,60375,59250,50.46,84.18,-0.915,81,64,25,0.18511,0,DNA Repair Protein
471AA,57,47,26360,26360,33.9,99.3,-0.129,31,27,14,18.37534,1,Heat Shock Protein
840AA,137,110,57145,56270,44.82,74.86,-0.581,62,41,23,0.0047,0,Heat Shock Protein
509AA,65,54,14160,13410,42.39,96.01,-0.074,44,24,9,0.00438,0,Heat Shock Protein
858AA,138,112,51310,50310,43.56,76.68,-0.572,49,38,19,0.00241,0,Heat Shock Protein
999AA,166,134,51590,51340,44.99,80.94,-0.546,52,51,16,22.30443,1,Heat Shock Protein
205AA,26,23,40450,40450,62.82,68.54,-0.567,21,14,5,0.00021,0,Heat Shock Protein
160AA,18,14,9970,9970,57.89,90.31,-0.079,10,4,3,0.00851,0,Heat Shock Protein
529AA,68,46,28670,28420,61.21,80.36,-0.387,70,25,8,0.00394,0,Heat Shock Protein
840AA,137,110,57145,56270,44.82,74.86,-0.581,62,41,23,0.0047,0,Heat Shock Protein
641AA,92,81,33600,33350,32.17,85.23,-0.383,34,41,15,0.28445,0,Heat Shock Protein
493AA,62,56,62630,61880,40.05,92.35,-0.145,31,16,12,0.03218,0,Decarboxylase
409AA,36,52,65360,64860,37.32,81.03,-0.318,28,21,14,9.05343,0,Decarboxylase
400AA,42,41,45420,44920,43.68,87.35,-0.098,30,23,8,0.35828,0,Decarboxylase
521AA,74,67,82695,81820,39.55,84.03,-0.273,33,15,18,0.03642,0,Decarboxylase
480AA,55,53,69620,68870,41.3,88.67,-0.045,28,17,13,2.19472,0,Decarboxylase
461AA,62,47,53580,52830,45.64,80.17,-0.183,33,21,17,0.14183,0,Decarboxylase
481AA,45,44,51255,50880,44.65,92.54,-0.031,42,27,12,0.22779,0,Decarboxylase
585AA,66,62,98165,97290,43.11,79.25,-0.201,34,28,21,3.42439,0,Decarboxylase
662AA,70,75,87985,86860,56.32,84.12,-0.158,57,31,12,0.12965,0,Decarboxylase
334AA,40,36,41745,41370,45.86,71.2,-0.338,32,12,13,0.06045,0,Decarboxylase
499AA,66,43,50810,50310,50.18,88.9,-0.041,36,30,19,131.31854,5,Voltage Gated Channel
653AA,96,66,55655,54780,60.46,76.92,-0.328,59,28,22,112.12914,3,Voltage Gated Channel
495AA,65,47,49320,48820,49.56,90.77,-0.064,38,26,18,115.85526,4,Voltage Gated Channel
511AA,59,52,85425,84800,42.47,85.69,-0.112,27,29,20,123.17221,5,Voltage Gated Channel
529AA,65,46,46340,45840,56.4,86.05,-0.082,37,26,16,117.69427,4,Voltage Gated Channel
